 	-	111
,	-	1010011
-	-	110110100
.	-	1101100
1	-	110110101
5	-	010000000
9	-	010000001
A	-	010000010
C	-	010000011
D	-	010000100
F	-	110110110
H	-	10100100
I	-	10100101
M	-	110110111
R	-	010000101
S	-	00100000
T	-	00100001
a	-	0110
b	-	011110
c	-	011111
d	-	10110
e	-	000
f	-	10111
g	-	010001
h	-	11010
i	-	0101
j	-	010000110
k	-	00100010
l	-	101000
m	-	01110
n	-	1000
o	-	1100
p	-	110111
q	-	00100011
r	-	0011
s	-	10101
t	-	1001
u	-	00101
v	-	001001
w	-	010010
x	-	010000111
y	-	010011
